Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score,Study_Category,Attendance_Category,Score_Category,Study_Efficiency
Female,10.1,No,Rural,87.0,Tertiary,76.3,High (10-15h),Good (75-90%),Good (70-85),6.873873873873874
Male,9.7,Yes,Rural,80.7,Secondary,87.7,Medium (5-10h),Good (75-90%),Excellent (85+),8.19626168224299
Male,7.5,No,Urban,52.8,Primary,50.2,Medium (5-10h),Poor (<60%),Pass (50-70),5.905882352941177
Female,9.3,Yes,Rural,94.2,Tertiary,73.3,Medium (5-10h),Excellent (90%+),Good (70-85),7.116504854368931
Female,6.7,Yes,Rural,98.0,Primary,75.2,Medium (5-10h),Excellent (90%+),Good (70-85),9.766233766233766
Female,10.8,No,Rural,85.7,Primary,70.7,High (10-15h),Good (75-90%),Good (70-85),5.991525423728813
Female,9.1,No,Rural,50.2,Secondary,52.8,Medium (5-10h),Poor (<60%),Pass (50-70),5.227722772277228
Male,14.2,Yes,Urban,69.3,Secondary,95.6,High (10-15h),Fair (60-75%),Excellent (85+),6.2894736842105265
Female,7.0,No,Urban,85.6,Tertiary,70.8,Medium (5-10h),Good (75-90%),Good (70-85),8.85
Male,3.9,No,Urban,96.9,Secondary,45.9,Low (0-5h),Excellent (90%+),Fail (<50),9.367346938775508
Female,11.4,No,Urban,84.7,Tertiary,87.3,High (10-15h),Good (75-90%),Excellent (85+),7.040322580645161
Male,11.4,No,Rural,68.0,Tertiary,73.3,High (10-15h),Fair (60-75%),Good (70-85),5.911290322580645
Male,15.3,No,Urban,64.3,Secondary,96.5,Very High (15h+),Fair (60-75%),Excellent (85+),5.920245398773006
Male,13.0,No,Urban,52.4,,66.6,High (10-15h),Poor (<60%),Pass (50-70),4.757142857142857
Male,5.2,No,Rural,82.4,Primary,49.2,Medium (5-10h),Good (75-90%),Fail (<50),7.935483870967742
Female,11.5,No,Urban,68.7,Tertiary,75.6,High (10-15h),Fair (60-75%),Good (70-85),6.047999999999999
Female,10.4,No,Rural,82.2,Tertiary,71.3,High (10-15h),Good (75-90%),Good (70-85),6.25438596491228
Female,13.7,No,Urban,97.6,Secondary,95.7,High (10-15h),Excellent (90%+),Excellent (85+),6.510204081632653
Female,15.0,Yes,Urban,67.2,Tertiary,100.0,High (10-15h),Fair (60-75%),Excellent (85+),6.25
Female,14.2,No,Urban,67.3,Tertiary,84.6,High (10-15h),Fair (60-75%),Good (70-85),5.565789473684211
Male,7.1,No,Urban,57.2,Tertiary,48.6,Medium (5-10h),Poor (<60%),Fail (<50),6.0
Female,11.6,No,Rural,53.1,Tertiary,72.2,High (10-15h),Poor (<60%),Good (70-85),5.73015873015873
Male,5.2,No,Urban,66.9,Primary,55.5,Medium (5-10h),Fair (60-75%),Pass (50-70),8.951612903225806
Female,3.4,No,Rural,92.5,Tertiary,46.2,Low (0-5h),Excellent (90%+),Fail (<50),10.5
Male,12.5,No,Urban,95.9,,82.4,High (10-15h),Excellent (90%+),Good (70-85),6.1037037037037045
Female,8.7,Yes,Rural,69.2,Tertiary,75.5,Medium (5-10h),Fair (60-75%),Good (70-85),7.783505154639176
Male,16.0,No,Urban,90.8,Secondary,95.2,Very High (15h+),Excellent (90%+),Excellent (85+),5.6000000000000005
Female,6.0,No,Urban,99.0,Tertiary,64.1,Medium (5-10h),Excellent (90%+),Pass (50-70),9.157142857142857
Female,16.0,Yes,Rural,90.6,Secondary,100.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.882352941176471
Male,12.9,No,Urban,99.4,Secondary,92.3,High (10-15h),Excellent (90%+),Excellent (85+),6.640287769784172
Male,16.0,No,Rural,51.4,,79.6,Very High (15h+),Poor (<60%),Good (70-85),4.68235294117647
Male,14.3,No,Urban,54.4,,82.5,High (10-15h),Poor (<60%),Good (70-85),5.3921568627450975
Female,12.5,Yes,Urban,83.9,Tertiary,100.0,High (10-15h),Good (75-90%),Excellent (85+),7.407407407407407
Female,2.8,Yes,Urban,72.7,Primary,57.0,Low (0-5h),Fair (60-75%),Pass (50-70),15.0
Female,10.8,No,Rural,73.4,Tertiary,72.8,High (10-15h),Fair (60-75%),Good (70-85),6.169491525423728
Male,7.5,Yes,Urban,75.1,Tertiary,75.1,Medium (5-10h),Good (75-90%),Good (70-85),8.835294117647058
Male,1.7,No,Urban,99.3,Secondary,39.7,Low (0-5h),Excellent (90%+),Fail (<50),14.703703703703704
Female,8.7,No,Urban,75.0,Primary,61.7,Medium (5-10h),Fair (60-75%),Pass (50-70),6.360824742268042
Male,7.2,No,Urban,97.5,,63.4,Medium (5-10h),Excellent (90%+),Pass (50-70),7.731707317073171
Male,9.7,Yes,Urban,53.0,Secondary,75.9,Medium (5-10h),Poor (<60%),Good (70-85),7.093457943925235
Female,7.0,No,Urban,94.5,Tertiary,59.6,Medium (5-10h),Excellent (90%+),Pass (50-70),7.45
Male,11.6,No,Urban,68.2,Primary,71.9,High (10-15h),Fair (60-75%),Good (70-85),5.706349206349207
Male,3.9,No,Rural,88.6,Secondary,44.0,Low (0-5h),Good (75-90%),Fail (<50),8.979591836734693
Male,8.8,No,Urban,67.3,Secondary,64.6,Medium (5-10h),Fair (60-75%),Pass (50-70),6.591836734693876
Female,11.4,No,Urban,79.9,Secondary,73.8,High (10-15h),Good (75-90%),Good (70-85),5.951612903225806
Male,6.1,Yes,Urban,54.9,,61.6,Medium (5-10h),Poor (<60%),Pass (50-70),8.67605633802817
Female,8.8,Yes,Urban,55.9,Secondary,69.3,Medium (5-10h),Poor (<60%),Pass (50-70),7.07142857142857
Male,0.0,No,Urban,57.2,Tertiary,28.0,,Poor (<60%),Fail (<50),28.0
Female,5.0,Yes,Urban,83.2,Secondary,70.2,Low (0-5h),Good (75-90%),Good (70-85),11.700000000000001
Male,11.2,No,Rural,80.7,Secondary,74.2,High (10-15h),Good (75-90%),Good (70-85),6.081967213114755
Female,9.9,No,Rural,55.9,Tertiary,55.2,Medium (5-10h),Poor (<60%),Pass (50-70),5.064220183486238
Female,10.0,No,Urban,79.4,Tertiary,61.1,Medium (5-10h),Good (75-90%),Pass (50-70),5.554545454545455
Male,9.8,No,Rural,68.7,Primary,57.3,Medium (5-10h),Fair (60-75%),Pass (50-70),5.305555555555555
Male,5.6,No,Rural,80.2,Secondary,46.3,Medium (5-10h),Good (75-90%),Fail (<50),7.015151515151515
Female,12.2,Yes,Rural,86.8,Tertiary,95.5,High (10-15h),Good (75-90%),Excellent (85+),7.234848484848485
Male,7.3,No,Urban,92.0,Tertiary,59.8,Medium (5-10h),Excellent (90%+),Pass (50-70),7.204819277108433
Female,11.6,Yes,Urban,65.2,Tertiary,86.7,High (10-15h),Fair (60-75%),Excellent (85+),6.880952380952381
Male,16.0,Yes,Urban,74.2,Primary,100.0,Very High (15h+),Fair (60-75%),Excellent (85+),5.882352941176471
Female,7.7,No,Rural,70.2,Secondary,58.6,Medium (5-10h),Fair (60-75%),Pass (50-70),6.735632183908047
Male,13.4,No,Urban,99.3,Tertiary,88.7,High (10-15h),Excellent (90%+),Excellent (85+),6.159722222222222
Male,8.7,No,Rural,78.3,Tertiary,66.7,Medium (5-10h),Good (75-90%),Pass (50-70),6.876288659793815
Male,6.9,No,Rural,54.5,,53.5,Medium (5-10h),Poor (<60%),Pass (50-70),6.772151898734177
Male,12.2,No,Urban,88.6,Tertiary,79.9,High (10-15h),Good (75-90%),Good (70-85),6.053030303030304
Female,9.1,No,Urban,84.6,Secondary,75.4,Medium (5-10h),Good (75-90%),Good (70-85),7.465346534653466
Female,12.0,No,Urban,62.9,Secondary,74.9,High (10-15h),Fair (60-75%),Good (70-85),5.761538461538462
Male,16.0,No,Rural,60.7,Secondary,80.7,Very High (15h+),Fair (60-75%),Good (70-85),4.747058823529412
Female,9.7,Yes,Urban,87.5,,74.7,Medium (5-10h),Good (75-90%),Good (70-85),6.981308411214954
Male,9.2,No,Urban,95.6,Secondary,72.0,Medium (5-10h),Excellent (90%+),Good (70-85),7.058823529411765
Female,11.9,No,Urban,83.4,Secondary,76.1,High (10-15h),Good (75-90%),Good (70-85),5.89922480620155
Female,10.8,Yes,Rural,90.4,Secondary,98.2,High (10-15h),Excellent (90%+),Excellent (85+),8.322033898305085
Male,11.0,No,Urban,83.5,Tertiary,74.7,High (10-15h),Good (75-90%),Good (70-85),6.2250000000000005
Female,5.2,No,Rural,97.1,Primary,56.3,Medium (5-10h),Excellent (90%+),Pass (50-70),9.080645161290322
Male,6.1,No,Urban,58.7,Secondary,42.9,Medium (5-10h),Poor (<60%),Fail (<50),6.042253521126761
Male,6.8,No,Rural,63.6,Tertiary,50.7,Medium (5-10h),Fair (60-75%),Pass (50-70),6.500000000000001
Male,14.6,No,Rural,61.2,Primary,74.9,High (10-15h),Fair (60-75%),Good (70-85),4.801282051282052
Male,13.2,Yes,Urban,99.5,Tertiary,100.0,High (10-15h),Excellent (90%+),Excellent (85+),7.042253521126761
Male,14.9,No,Urban,94.0,Tertiary,100.0,High (10-15h),Excellent (90%+),Excellent (85+),6.289308176100628
Female,3.7,No,Rural,86.9,Primary,49.8,Low (0-5h),Good (75-90%),Fail (<50),10.595744680851062
Female,12.8,No,Urban,70.6,Primary,72.1,High (10-15h),Fair (60-75%),Good (70-85),5.22463768115942
Male,11.1,No,Rural,65.3,Secondary,68.8,High (10-15h),Fair (60-75%),Pass (50-70),5.68595041322314
Male,16.0,No,Urban,82.3,Secondary,94.9,Very High (15h+),Good (75-90%),Excellent (85+),5.582352941176471
Male,14.2,No,Urban,98.3,Tertiary,92.4,High (10-15h),Excellent (90%+),Excellent (85+),6.078947368421053
Male,9.9,No,Urban,88.5,Tertiary,77.2,Medium (5-10h),Good (75-90%),Good (70-85),7.08256880733945
Female,9.5,No,Urban,69.3,Secondary,71.0,Medium (5-10h),Fair (60-75%),Good (70-85),6.761904761904762
Female,11.4,No,Urban,80.7,,80.4,High (10-15h),Good (75-90%),Good (70-85),6.483870967741936
Male,4.5,No,Urban,51.9,,38.5,Low (0-5h),Poor (<60%),Fail (<50),7.0
Male,4.3,Yes,Rural,88.2,Secondary,61.3,Low (0-5h),Good (75-90%),Pass (50-70),11.566037735849056
Female,9.0,No,Rural,57.0,Secondary,61.6,Medium (5-10h),Poor (<60%),Pass (50-70),6.16
Male,12.6,No,Rural,64.3,Tertiary,75.6,High (10-15h),Fair (60-75%),Good (70-85),5.5588235294117645
Female,11.7,Yes,Urban,80.9,Secondary,96.5,High (10-15h),Good (75-90%),Excellent (85+),7.598425196850394
Female,11.2,No,Rural,70.9,Primary,70.3,High (10-15h),Fair (60-75%),Good (70-85),5.762295081967213
Female,9.4,No,Urban,85.9,Secondary,66.7,Medium (5-10h),Good (75-90%),Pass (50-70),6.413461538461538
Female,13.8,Yes,Rural,61.8,,77.7,High (10-15h),Fair (60-75%),Good (70-85),5.25
Female,9.5,Yes,Urban,54.9,Primary,70.5,Medium (5-10h),Poor (<60%),Good (70-85),6.714285714285714
Female,6.7,No,Urban,72.8,Secondary,60.8,Medium (5-10h),Fair (60-75%),Pass (50-70),7.896103896103895
Female,5.0,Yes,Urban,61.2,Secondary,64.9,Low (0-5h),Fair (60-75%),Pass (50-70),10.816666666666668
Female,8.1,No,Rural,59.1,Primary,57.5,Medium (5-10h),Poor (<60%),Pass (50-70),6.318681318681319
Female,5.3,No,Rural,94.8,Secondary,51.3,Medium (5-10h),Excellent (90%+),Pass (50-70),8.142857142857142
Female,6.6,No,Urban,82.8,Primary,56.6,Medium (5-10h),Good (75-90%),Pass (50-70),7.447368421052632
Female,4.4,No,Rural,89.1,Tertiary,52.6,Low (0-5h),Good (75-90%),Pass (50-70),9.74074074074074
Male,14.1,Yes,Urban,97.4,Secondary,100.0,High (10-15h),Excellent (90%+),Excellent (85+),6.622516556291391
Male,6.5,No,Urban,50.1,Secondary,42.1,Medium (5-10h),Poor (<60%),Fail (<50),5.613333333333333
Female,7.9,Yes,Urban,60.4,Primary,79.2,Medium (5-10h),Fair (60-75%),Good (70-85),8.898876404494382
Female,12.2,No,Urban,96.0,Tertiary,89.5,High (10-15h),Excellent (90%+),Excellent (85+),6.78030303030303
Female,4.1,Yes,Urban,70.0,Primary,59.8,Low (0-5h),Fair (60-75%),Pass (50-70),11.725490196078432
Female,5.7,No,Rural,97.1,Tertiary,63.6,Medium (5-10h),Excellent (90%+),Pass (50-70),9.492537313432836
Male,16.0,No,Urban,84.2,Tertiary,92.7,Very High (15h+),Good (75-90%),Excellent (85+),5.452941176470588
Male,6.6,No,Rural,83.4,Tertiary,48.0,Medium (5-10h),Good (75-90%),Fail (<50),6.315789473684211
Female,12.0,No,Urban,69.5,Tertiary,74.4,High (10-15h),Fair (60-75%),Good (70-85),5.723076923076923
Male,16.0,No,Rural,70.4,Secondary,81.4,Very High (15h+),Fair (60-75%),Good (70-85),4.788235294117648
Male,12.5,No,Urban,83.5,Secondary,80.0,High (10-15h),Good (75-90%),Good (70-85),5.925925925925926
Female,11.7,No,Urban,88.5,Secondary,76.8,High (10-15h),Good (75-90%),Good (70-85),6.047244094488189
Male,16.0,No,Urban,57.0,Primary,80.1,Very High (15h+),Poor (<60%),Good (70-85),4.711764705882352
Female,6.7,No,Rural,94.1,Tertiary,65.0,Medium (5-10h),Excellent (90%+),Pass (50-70),8.441558441558442
Male,2.8,No,Rural,86.1,Secondary,43.3,Low (0-5h),Good (75-90%),Fail (<50),11.394736842105264
Female,7.4,No,Urban,93.4,Primary,65.5,Medium (5-10h),Excellent (90%+),Pass (50-70),7.7976190476190474
Male,7.0,No,Urban,70.0,,47.1,Medium (5-10h),Fair (60-75%),Fail (<50),5.8875
Male,10.0,Yes,Rural,56.9,Secondary,79.4,Medium (5-10h),Poor (<60%),Good (70-85),7.218181818181819
Female,7.5,No,Urban,68.0,Primary,52.0,Medium (5-10h),Fair (60-75%),Pass (50-70),6.117647058823529
Male,13.7,Yes,Urban,56.4,Tertiary,93.9,High (10-15h),Poor (<60%),Excellent (85+),6.387755102040817
Male,12.5,No,Urban,75.2,Tertiary,76.4,High (10-15h),Good (75-90%),Good (70-85),5.65925925925926
Male,4.8,Yes,Rural,52.7,Primary,55.8,Low (0-5h),Poor (<60%),Pass (50-70),9.620689655172413
Male,13.3,No,Urban,88.6,Secondary,80.8,High (10-15h),Good (75-90%),Good (70-85),5.65034965034965
Male,9.6,Yes,Rural,68.1,Tertiary,77.9,Medium (5-10h),Fair (60-75%),Good (70-85),7.349056603773586
Female,0.2,Yes,Rural,60.6,Tertiary,42.3,Low (0-5h),Fair (60-75%),Fail (<50),35.25
Male,12.8,No,Urban,87.1,Tertiary,83.3,High (10-15h),Good (75-90%),Good (70-85),6.036231884057971
Female,3.4,No,Urban,51.3,Primary,41.3,Low (0-5h),Poor (<60%),Fail (<50),9.386363636363635
Male,15.8,Yes,Rural,53.2,Tertiary,100.0,Very High (15h+),Poor (<60%),Excellent (85+),5.9523809523809526
Male,9.9,No,Urban,77.7,Secondary,60.1,Medium (5-10h),Good (75-90%),Pass (50-70),5.513761467889908
Female,9.1,No,Urban,53.1,Tertiary,53.7,Medium (5-10h),Poor (<60%),Pass (50-70),5.316831683168317
Female,13.2,No,Urban,76.6,Primary,80.3,High (10-15h),Good (75-90%),Good (70-85),5.654929577464789
Female,10.4,Yes,Rural,98.3,Secondary,93.4,High (10-15h),Excellent (90%+),Excellent (85+),8.192982456140351
Female,14.2,No,Rural,69.3,Secondary,83.2,High (10-15h),Fair (60-75%),Good (70-85),5.473684210526316
Male,12.3,No,Urban,85.1,Primary,67.4,High (10-15h),Good (75-90%),Pass (50-70),5.067669172932331
Male,8.6,No,Urban,65.9,Secondary,54.4,Medium (5-10h),Fair (60-75%),Pass (50-70),5.666666666666667
Female,16.0,No,Urban,92.4,Tertiary,99.5,Very High (15h+),Excellent (90%+),Excellent (85+),5.852941176470588
Male,0.7,No,Urban,99.3,Secondary,37.7,Low (0-5h),Excellent (90%+),Fail (<50),22.176470588235297
Female,7.5,No,Rural,89.8,Primary,67.3,Medium (5-10h),Good (75-90%),Pass (50-70),7.917647058823529
Female,6.0,No,Urban,80.5,Secondary,56.6,Medium (5-10h),Good (75-90%),Pass (50-70),8.085714285714285
Female,8.7,No,Urban,99.3,Secondary,77.5,Medium (5-10h),Excellent (90%+),Good (70-85),7.9896907216494855
Female,10.6,No,Urban,94.5,Secondary,76.1,High (10-15h),Excellent (90%+),Good (70-85),6.560344827586206
Male,10.0,No,Urban,90.8,Secondary,76.1,Medium (5-10h),Excellent (90%+),Good (70-85),6.918181818181818
Male,15.2,No,Urban,86.5,Tertiary,91.4,Very High (15h+),Good (75-90%),Excellent (85+),5.6419753086419755
Female,10.5,Yes,Urban,53.3,Secondary,80.3,High (10-15h),Poor (<60%),Good (70-85),6.982608695652174
Male,13.3,No,Urban,96.3,Tertiary,90.0,High (10-15h),Excellent (90%+),Excellent (85+),6.293706293706293
Male,7.2,No,Urban,52.4,Tertiary,51.1,Medium (5-10h),Poor (<60%),Pass (50-70),6.231707317073171
Female,7.0,No,Urban,96.0,Secondary,56.0,Medium (5-10h),Excellent (90%+),Pass (50-70),7.0
Female,10.9,Yes,Urban,74.2,,75.4,High (10-15h),Fair (60-75%),Good (70-85),6.336134453781513
Female,9.9,No,Urban,98.2,Tertiary,81.8,Medium (5-10h),Excellent (90%+),Good (70-85),7.504587155963303
Male,14.6,No,Urban,53.1,Tertiary,80.9,High (10-15h),Poor (<60%),Good (70-85),5.185897435897436
Male,8.0,No,Rural,72.5,Secondary,54.4,Medium (5-10h),Fair (60-75%),Pass (50-70),6.044444444444444
Male,12.7,No,Rural,93.8,Primary,82.3,High (10-15h),Excellent (90%+),Good (70-85),6.007299270072993
Female,10.5,No,Urban,67.9,Tertiary,65.9,High (10-15h),Fair (60-75%),Pass (50-70),5.730434782608696
Female,15.3,No,Urban,97.1,Primary,96.1,Very High (15h+),Excellent (90%+),Excellent (85+),5.895705521472392
Male,9.8,No,Rural,51.4,Tertiary,66.4,Medium (5-10h),Poor (<60%),Pass (50-70),6.148148148148148
Female,10.3,No,Urban,68.6,Tertiary,71.6,High (10-15h),Fair (60-75%),Good (70-85),6.336283185840707
Male,14.5,No,Urban,51.6,Secondary,77.8,High (10-15h),Poor (<60%),Good (70-85),5.019354838709678
Male,4.6,No,Urban,85.2,Primary,47.3,Low (0-5h),Good (75-90%),Fail (<50),8.446428571428571
Male,12.3,Yes,Rural,70.0,Tertiary,92.1,High (10-15h),Fair (60-75%),Excellent (85+),6.924812030075187
Female,8.7,No,Urban,54.2,Primary,57.3,Medium (5-10h),Poor (<60%),Pass (50-70),5.907216494845361
Female,7.4,No,Rural,72.9,Secondary,62.0,Medium (5-10h),Fair (60-75%),Pass (50-70),7.3809523809523805
Male,13.8,No,Urban,79.5,Secondary,84.5,High (10-15h),Good (75-90%),Good (70-85),5.709459459459459
Female,8.6,No,Urban,90.2,Secondary,61.4,Medium (5-10h),Excellent (90%+),Pass (50-70),6.395833333333333
Male,12.1,No,Urban,67.6,Secondary,74.1,High (10-15h),Fair (60-75%),Good (70-85),5.65648854961832
Female,16.0,Yes,Rural,91.1,,100.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.882352941176471
Male,14.8,No,Urban,89.8,Tertiary,84.4,High (10-15h),Good (75-90%),Good (70-85),5.341772151898734
Male,16.0,Yes,Urban,93.3,,100.0,Very High (15h+),Excellent (90%+),Excellent (85+),5.882352941176471
Female,6.1,No,Rural,82.9,Tertiary,51.1,Medium (5-10h),Good (75-90%),Pass (50-70),7.19718309859155
Male,3.0,No,Urban,63.4,Tertiary,45.3,Low (0-5h),Fair (60-75%),Fail (<50),11.325
Male,11.3,No,Urban,99.2,Tertiary,83.1,High (10-15h),Excellent (90%+),Good (70-85),6.756097560975609
Male,14.8,No,Urban,97.4,Secondary,91.1,High (10-15h),Excellent (90%+),Excellent (85+),5.765822784810126
Male,11.1,No,Rural,54.6,Primary,57.2,High (10-15h),Poor (<60%),Pass (50-70),4.7272727272727275
Male,0.0,No,Urban,76.0,,31.0,,Good (75-90%),Fail (<50),31.0
Female,11.0,No,Urban,53.3,Secondary,72.7,High (10-15h),Poor (<60%),Good (70-85),6.058333333333334
Female,9.9,No,Rural,84.9,Primary,65.1,Medium (5-10h),Good (75-90%),Pass (50-70),5.9724770642201825
Female,13.4,No,Urban,83.3,Primary,79.3,High (10-15h),Good (75-90%),Good (70-85),5.506944444444444
Female,4.3,Yes,Rural,50.9,Primary,53.3,Low (0-5h),Poor (<60%),Pass (50-70),10.056603773584905
Female,14.0,No,Urban,91.9,Primary,82.4,High (10-15h),Excellent (90%+),Good (70-85),5.493333333333334
Female,4.2,No,Urban,60.0,Primary,39.1,Low (0-5h),Poor (<60%),Fail (<50),7.519230769230769
Female,5.1,Yes,Urban,52.9,Secondary,66.9,Medium (5-10h),Poor (<60%),Pass (50-70),10.9672131147541
Female,0.0,Yes,Urban,62.0,Secondary,41.9,,Fair (60-75%),Fail (<50),41.9
Male,16.0,No,Rural,91.5,Secondary,84.5,Very High (15h+),Excellent (90%+),Good (70-85),4.970588235294118
Male,0.5,Yes,Rural,65.6,Secondary,36.5,Low (0-5h),Fair (60-75%),Fail (<50),24.333333333333332
Male,13.5,No,Urban,95.5,Tertiary,94.5,High (10-15h),Excellent (90%+),Excellent (85+),6.517241379310345
Male,9.3,Yes,Urban,67.1,,75.2,Medium (5-10h),Fair (60-75%),Good (70-85),7.300970873786407
Female,8.7,No,Urban,80.6,Secondary,65.1,Medium (5-10h),Good (75-90%),Pass (50-70),6.711340206185567
Female,15.3,No,Rural,86.8,Secondary,97.3,Very High (15h+),Good (75-90%),Excellent (85+),5.969325153374233
Female,12.1,No,Urban,98.5,Tertiary,81.7,High (10-15h),Excellent (90%+),Good (70-85),6.236641221374046
Female,12.3,No,Urban,91.8,Primary,82.7,High (10-15h),Excellent (90%+),Good (70-85),6.2180451127819545
Male,16.0,No,Rural,91.8,Secondary,89.7,Very High (15h+),Excellent (90%+),Excellent (85+),5.276470588235294
Female,15.3,No,Rural,59.5,Primary,84.7,Very High (15h+),Poor (<60%),Good (70-85),5.196319018404908
Male,16.0,No,Rural,53.6,Primary,79.0,Very High (15h+),Poor (<60%),Good (70-85),4.647058823529412
Male,5.5,Yes,Urban,70.7,Secondary,63.8,Medium (5-10h),Fair (60-75%),Pass (50-70),9.815384615384614
Female,2.8,No,Urban,76.0,,36.6,Low (0-5h),Good (75-90%),Fail (<50),9.631578947368421
Female,10.3,No,Rural,65.0,Tertiary,67.7,High (10-15h),Fair (60-75%),Pass (50-70),5.991150442477876
Female,11.0,No,Urban,77.6,Tertiary,82.4,High (10-15h),Good (75-90%),Good (70-85),6.866666666666667
Male,11.0,No,Rural,78.7,,64.6,High (10-15h),Good (75-90%),Pass (50-70),5.383333333333333
Female,12.7,No,Urban,69.4,Secondary,86.6,High (10-15h),Fair (60-75%),Excellent (85+),6.321167883211679
Female,11.0,No,Urban,80.0,Secondary,72.0,High (10-15h),Good (75-90%),Good (70-85),6.0
Female,9.3,No,Urban,70.3,Tertiary,63.6,Medium (5-10h),Fair (60-75%),Pass (50-70),6.174757281553398
Male,12.2,No,Urban,64.2,Secondary,69.7,High (10-15h),Fair (60-75%),Pass (50-70),5.280303030303031
Female,9.3,No,Urban,63.1,Secondary,52.9,Medium (5-10h),Fair (60-75%),Pass (50-70),5.135922330097087
Female,12.6,No,Rural,62.1,Secondary,73.6,High (10-15h),Fair (60-75%),Good (70-85),5.411764705882352
Female,14.9,No,Rural,52.4,Primary,78.2,High (10-15h),Poor (<60%),Good (70-85),4.918238993710692
Female,0.8,No,Rural,60.1,Primary,24.0,Low (0-5h),Fair (60-75%),Fail (<50),13.333333333333332
Female,8.8,No,Rural,86.1,Primary,71.6,Medium (5-10h),Good (75-90%),Good (70-85),7.306122448979591
Male,12.6,No,Urban,98.8,Secondary,88.8,High (10-15h),Excellent (90%+),Excellent (85+),6.529411764705882
Male,6.0,No,Rural,93.5,Primary,56.2,Medium (5-10h),Excellent (90%+),Pass (50-70),8.028571428571428
Female,16.0,No,Urban,66.3,Primary,83.2,Very High (15h+),Fair (60-75%),Good (70-85),4.894117647058824
Male,14.0,Yes,Urban,95.2,Secondary,100.0,High (10-15h),Excellent (90%+),Excellent (85+),6.666666666666667
Male,11.9,Yes,Urban,85.7,Secondary,86.5,High (10-15h),Good (75-90%),Excellent (85+),6.705426356589147
Male,5.4,No,Urban,76.2,,43.4,Medium (5-10h),Good (75-90%),Fail (<50),6.781249999999999
Female,7.0,No,Urban,69.4,Tertiary,45.7,Medium (5-10h),Fair (60-75%),Fail (<50),5.7125
Male,9.0,Yes,Urban,52.9,,71.5,Medium (5-10h),Poor (<60%),Good (70-85),7.15
Female,13.8,No,Rural,89.6,Secondary,70.6,High (10-15h),Good (75-90%),Good (70-85),4.770270270270269
Male,13.2,No,Rural,97.4,Tertiary,81.8,High (10-15h),Excellent (90%+),Good (70-85),5.76056338028169
Female,16.0,No,Urban,78.3,Secondary,92.8,Very High (15h+),Good (75-90%),Excellent (85+),5.458823529411765
Male,9.5,No,Rural,83.5,,56.3,Medium (5-10h),Good (75-90%),Pass (50-70),5.3619047619047615
Female,5.9,No,Rural,55.6,Primary,38.0,Medium (5-10h),Poor (<60%),Fail (<50),5.507246376811594
Female,10.0,No,Urban,70.7,Primary,66.0,Medium (5-10h),Fair (60-75%),Pass (50-70),6.0
Male,4.7,No,Rural,73.7,Secondary,49.6,Low (0-5h),Fair (60-75%),Fail (<50),8.701754385964913
Female,14.7,Yes,Rural,57.9,Primary,91.8,High (10-15h),Poor (<60%),Excellent (85+),5.8471337579617835
Male,6.2,No,Urban,84.0,Tertiary,53.0,Medium (5-10h),Good (75-90%),Pass (50-70),7.361111111111111
Male,12.7,No,Rural,95.4,Secondary,85.7,High (10-15h),Excellent (90%+),Excellent (85+),6.255474452554745
Male,14.0,No,Urban,75.3,Secondary,76.1,High (10-15h),Good (75-90%),Good (70-85),5.073333333333333
Female,6.7,No,Urban,93.2,,52.1,Medium (5-10h),Excellent (90%+),Pass (50-70),6.766233766233766
Male,5.8,Yes,Urban,81.4,Secondary,72.8,Medium (5-10h),Good (75-90%),Good (70-85),10.705882352941176
Female,2.4,Yes,Rural,72.4,Primary,52.5,Low (0-5h),Fair (60-75%),Pass (50-70),15.441176470588236
Male,10.2,No,Urban,74.8,Primary,61.3,High (10-15h),Fair (60-75%),Pass (50-70),5.473214285714286
Female,11.0,No,Rural,86.4,Primary,67.7,High (10-15h),Good (75-90%),Pass (50-70),5.641666666666667
Female,10.4,No,Urban,51.9,,55.2,High (10-15h),Poor (<60%),Pass (50-70),4.842105263157895
Male,10.7,No,Urban,66.8,Tertiary,70.6,High (10-15h),Fair (60-75%),Good (70-85),6.034188034188034
Female,8.8,No,Urban,83.8,Primary,62.4,Medium (5-10h),Good (75-90%),Pass (50-70),6.367346938775509
Female,2.6,Yes,Urban,84.4,Secondary,60.5,Low (0-5h),Good (75-90%),Pass (50-70),16.805555555555554
Male,7.4,No,Rural,60.9,Primary,47.9,Medium (5-10h),Fair (60-75%),Fail (<50),5.702380952380952
Female,4.5,No,Urban,59.9,Primary,49.4,Low (0-5h),Poor (<60%),Fail (<50),8.981818181818182
Female,8.8,No,Urban,91.4,Primary,67.4,Medium (5-10h),Excellent (90%+),Pass (50-70),6.877551020408164
Female,7.6,No,Rural,79.7,Secondary,43.0,Medium (5-10h),Good (75-90%),Fail (<50),5.0
Female,6.0,No,Urban,70.1,Tertiary,62.5,Medium (5-10h),Fair (60-75%),Pass (50-70),8.928571428571429
Female,5.8,Yes,Urban,55.6,Secondary,59.9,Medium (5-10h),Poor (<60%),Pass (50-70),8.808823529411764
Male,6.7,Yes,Rural,74.4,Secondary,65.1,Medium (5-10h),Fair (60-75%),Pass (50-70),8.454545454545453
